mukey,muname,musym,dominant_components,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,cec7_r
2550272,"Spillville loam, 2 to 5 percent slopes",485B,"Spillville, Coland",1.8407894736842108,6.816168421052632,0.18384184210526314,22.71336842105263,42.73611842105263,18.748639473684207
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,"Blue Earth, Canisteo, Harps",13.1840625,7.64731,0.209527,25.200150000000004,12.46335,24.049535000000002
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,"Zenor, Storden",0.7783717105263159,7.562500000000003,0.07202302631578948,11.061348684210529,61.17375000000002,12.599671052631582
2550305,"Zenor sandy loam, 5 to 9 percent slopes, moderately eroded",828C2,"Zenor, Storden",0.6846217105263159,7.562500000000003,0.07202302631578948,11.061348684210529,61.17375000000002,12.599671052631582
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,"Clarion, Storden, Nicollet",0.8786875000000001,7.377999999999999,0.18321749999999998,17.735500000000002,46.88399999999999,13.655475
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,"Nicollet, Clarion, Webster",1.3328125,7.404525000000001,0.18518999999999994,19.074749999999998,43.412,14.824924999999997
2835012,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",L107,"Webster, Nicollet, Okoboji",2.0588625,7.498194999999999,0.18092300000000003,22.417250000000003,38.09375,17.725125000000002
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,"Harps, Canisteo, Okoboji",2.0642500000000004,7.907475,0.18488249999999998,20.872999999999998,39.63849999999999,14.446325000000002
2922007,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",L507,"Canisteo, Okoboji, Webster",1.9275499999999999,7.827599999999999,0.18020099999999994,22.145599999999998,39.53744999999999,16.244564999999998
