mukey,hzname,hzdept_r (cm),hzdepb_r (cm),om_r (%),ph1to1h2o_r,awc_r (in/in),claytotal_r (%),sandtotal_r (%),cec7_r (meq/100g),comppct_r (%)
2835012,Bg,84.00,97.00,1.50,7.10,0.19,36.00,15.00,27.90,3.00
2835012,Cg,91.00,200.00,0.25,8.00,0.18,15.00,49.00,10.70,2.00
2835012,Cg,97.00,200.00,0.25,8.00,0.18,15.00,49.00,10.70,90.00
2835012,Cg,97.00,200.00,0.25,7.40,0.19,31.00,16.00,22.40,3.00
2835146,Ap,0.00,20.00,7.00,7.50,0.18,28.00,30.00,20.30,85.00
2835146,Ap,0.00,20.00,7.00,7.50,0.18,29.00,28.00,23.00,10.00
2835146,Ap,0.00,20.00,9.00,6.80,0.22,36.00,11.00,29.50,5.00
2835146,Ak,20.00,51.00,5.00,8.00,0.21,26.00,32.00,18.50,85.00
2835146,A,20.00,41.00,5.00,7.70,0.18,30.00,30.00,23.90,10.00
2835146,A,20.00,84.00,6.00,7.00,0.22,36.00,12.00,29.20,5.00
2835146,AB,41.00,51.00,3.00,7.70,0.18,30.00,30.00,23.50,10.00
2835146,Bkg,51.00,111.00,1.50,8.00,0.18,22.00,37.00,14.60,85.00
2835146,Bkg,51.00,91.00,1.50,8.00,0.17,27.00,39.00,17.60,10.00
2835146,Bg,84.00,97.00,1.50,7.10,0.19,36.00,15.00,27.90,5.00
2835146,Cg,91.00,200.00,0.25,8.00,0.18,15.00,49.00,10.70,10.00
2835146,Cg,97.00,200.00,0.25,7.40,0.19,31.00,16.00,22.40,5.00
2835146,Cg,111.00,200.00,0.25,8.00,0.18,15.00,49.00,9.90,85.00
2922007,Ap,0.00,20.00,7.00,7.50,0.18,29.00,28.00,23.00,85.00
2922007,Ap,0.00,20.00,9.00,6.80,0.22,36.00,11.00,29.50,8.00
2922007,Ap,0.00,20.00,7.00,6.50,0.18,32.00,21.00,27.30,5.00
2922007,Ap,0.00,20.00,7.00,7.50,0.18,28.00,30.00,20.30,2.00
2922007,A,20.00,41.00,5.00,7.70,0.18,30.00,30.00,23.90,85.00
2922007,A,20.00,84.00,6.00,7.00,0.22,36.00,12.00,29.20,8.00
2922007,A,20.00,58.00,5.00,6.90,0.18,33.00,25.00,27.70,5.00
2922007,Ak,20.00,51.00,5.00,8.00,0.21,26.00,32.00,18.50,2.00
2922007,AB,41.00,51.00,3.00,7.70,0.18,30.00,30.00,23.50,85.00
2922007,Bkg,51.00,91.00,1.50,8.00,0.17,27.00,39.00,17.60,85.00
2922007,Bkg,51.00,111.00,1.50,8.00,0.18,22.00,37.00,14.60,2.00
2922007,Bg,58.00,97.00,1.50,7.30,0.18,26.00,33.00,21.40,5.00
2922007,Bg,84.00,97.00,1.50,7.10,0.19,36.00,15.00,27.90,8.00
2922007,Cg,91.00,200.00,0.25,8.00,0.18,15.00,49.00,10.70,85.00
2922007,Cg,97.00,200.00,0.25,7.40,0.19,31.00,16.00,22.40,8.00
2922007,Cg,97.00,200.00,0.25,8.00,0.18,15.00,49.00,10.70,5.00
2922007,Cg,111.00,200.00,0.25,8.00,0.18,15.00,49.00,9.90,2.00
